pin,gender,marital_status,have_children,mvs_1,mvs_2,mvs_3,mvs_4,mvs_5,mvs_6,mvs_7,mvs_8,mvs_9,swls2019_1,swls2019_2,swls2019_3,swls2019_4,swls2019_5,swls2021_1,swls2021_2,swls2021_3,swls2021_4,swls2021_5
92,1,2,1,3,2,4,2,3,4,1,3,2,6,6,5,5,5,5,5,4,4,4
93,0,2,0,4,5,5,4,4,5,5,4,1,3,4,3,4,4,3,3,3,4,4
94,0,2,1,4,4,4,2,4,4,4,4,2,4,5,5,4,4,4,4,4,3,4
95,1,3,1,4,3,4,2,4,4,3,4,2,5,4,5,5,5,4,3,4,4,4
96,1,3,0,5,5,5,5,5,5,5,5,1,4,5,4,5,5,3,4,4,5,5
97,0,3,0,3,3,3,3,3,3,3,2,3,4,4,4,3,4,4,3,4,3,4
98,1,3,1,3,3,3,3,3,3,2,2,3,5,5,5,4,4,4,4,4,3,3
99,1,1,1,4,4,4,3,4,4,4,3,2,6,7,7,5,5,5,6,5,4,4
100,0,2,0,4,3,3,3,3,4,3,4,2,3,3,4,3,4,3,2,4,3,4
101,1,2,1,4,3,3,3,3,4,2,4,2,5,5,5,5,6,4,4,4,4,5
102,1,2,0,5,4,4,3,4,5,4,5,1,5,4,5,4,4,4,3,5,4,4
103,0,2,1,2,3,3,2,3,2,2,4,3,4,5,4,5,5,4,4,3,4,5
104,0,2,0,2,2,3,2,3,2,3,4,3,3,3,3,4,3,3,2,3,4,3
105,0,3,0,3,4,4,5,4,3,3,5,2,4,3,4,3,4,4,2,4,3,4
106,0,1,0,2,3,3,4,3,4,3,3,3,5,4,4,5,5,5,4,4,5,5
107,1,1,0,2,3,3,4,3,4,3,3,3,3,4,4,4,4,2,4,4,4,4
108,1,3,0,3,4,4,3,4,5,4,4,2,5,5,4,4,5,4,4,4,4,5
109,0,2,1,2,3,3,4,2,2,3,3,4,3,3,3,4,3,3,2,2,3,3
110,1,3,0,2,2,3,4,2,2,1,3,4,5,4,5,4,5,4,3,5,4,5
111,1,3,0,3,4,4,4,3,3,4,4,3,4,3,4,4,3,3,2,4,4,3
112,0,2,1,2,1,2,2,3,3,4,2,4,3,3,4,4,4,3,2,3,3,4
113,1,1,1,2,3,2,2,3,3,1,2,4,6,6,5,6,6,5,6,4,5,5
114,1,1,1,3,2,3,4,4,4,5,3,3,6,5,5,5,6,5,5,4,4,5
115,0,3,1,3,3,4,3,4,2,1,3,3,5,6,6,5,5,5,5,5,4,5
116,0,3,1,3,2,4,3,4,2,3,3,3,3,3,4,4,4,3,2,3,3,4
117,0,3,0,4,4,5,4,5,3,2,4,2,4,3,4,3,3,4,2,4,3,3
118,0,1,0,3,3,3,4,3,4,3,4,3,4,4,3,3,3,4,4,3,3,3
119,1,1,1,3,2,3,4,3,4,3,4,3,5,6,6,6,5,4,6,5,5,4
120,0,1,0,4,4,4,5,4,5,4,5,2,5,4,5,4,4,5,4,5,4,4
121,1,3,1,4,3,4,4,4,4,3,3,3,5,6,6,5,5,4,5,5,4,4
122,1,2,0,4,2,4,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3
123,0,3,0,5,4,5,4,5,5,4,4,2,4,5,4,5,5,4,4,4,5,5
124,0,2,1,3,2,2,2,4,4,4,4,3,4,4,5,4,4,4,3,4,3,4
125,1,1,1,3,2,2,2,4,4,1,4,3,5,6,6,5,6,4,6,5,4,5
126,0,1,1,4,3,3,5,5,5,5,5,2,3,3,3,3,3,3,3,2,2,3
127,1,1,0,3,1,2,3,3,4,4,4,3,6,6,6,5,5,5,6,6,5,5
128,1,3,0,3,3,2,3,3,4,1,4,3,3,3,4,4,3,2,2,4,4,3
129,0,3,0,4,2,3,4,4,5,5,5,2,4,4,5,4,5,4,3,5,4,5
130,1,1,1,2,4,4,2,4,2,2,3,3,6,5,6,5,6,5,5,5,4,5
131,1,2,1,2,2,4,2,4,2,1,3,3,4,4,4,4,4,3,3,3,3,3
132,0,2,0,3,5,5,4,5,3,3,4,2,3,3,3,3,4,3,2,3,3,4
133,0,3,0,3,2,2,2,2,3,2,3,3,3,3,4,3,3,3,2,4,3,3
134,1,1,1,3,2,2,2,2,3,1,3,3,4,4,4,5,4,3,4,3,4,3
135,0,1,0,4,3,3,4,3,4,3,4,2,3,4,3,3,4,3,4,3,3,4
136,1,3,1,3,3,4,4,3,4,3,3,2,5,6,5,5,6,4,5,4,4,5
137,0,2,0,3,1,4,4,3,4,3,3,2,3,4,3,4,4,3,3,3,4,4
138,0,1,0,4,4,5,5,4,5,4,4,1,3,4,4,3,4,3,4,4,3,4
139,0,2,1,2,2,4,3,3,4,4,4,2,5,5,4,5,5,5,4,3,4,5
140,0,2,0,2,1,4,3,3,4,2,4,2,5,4,4,4,5,5,3,4,4,5
141,0,2,0,3,3,5,5,4,5,5,5,1,4,4,5,4,4,4,3,5,4,4
142,1,2,1,4,2,4,2,4,4,3,4,2,5,4,5,4,4,4,3,4,3,3
143,1,1,0,4,2,4,2,4,4,3,4,2,6,5,6,6,6,5,5,6,6,6
144,1,3,0,5,3,5,3,5,5,4,5,1,5,4,5,4,5,4,3,5,4,5
145,0,1,0,4,2,4,3,2,4,4,2,2,3,3,3,3,4,3,3,3,3,4
146,0,3,0,4,3,4,3,2,4,3,2,2,4,5,5,5,4,4,4,5,5,4
147,1,2,0,5,3,5,5,3,5,5,3,1,4,4,4,3,4,3,3,4,3,4
148,0,2,0,3,3,4,2,3,3,4,3,2,4,5,4,4,5,4,4,4,4,5
149,1,3,1,3,1,4,2,3,3,2,3,2,5,5,4,4,4,4,4,3,3,3
150,0,3,1,4,4,5,5,4,4,5,4,1,5,5,4,5,5,5,4,3,4,5
151,0,2,0,2,3,4,2,2,3,2,2,3,4,3,4,3,4,4,2,4,3,4
