pin,gender,marital_status,have_children,mvs_1,mvs_2,mvs_3,mvs_4,mvs_5,mvs_6,mvs_7,mvs_8,mvs_9,swls2019_1,swls2019_2,swls2019_3,swls2019_4,swls2019_5,swls2021_1,swls2021_2,swls2021_3,swls2021_4,swls2021_5
218,0,3,1,3,2,3,4,3,4,3,4,3,4,5,5,4,5,4,4,4,3,5
219,1,3,1,4,4,4,5,4,5,4,5,2,4,5,5,4,4,3,4,4,3,3
220,0,2,1,4,3,4,4,4,4,3,3,3,3,4,3,4,4,3,3,2,3,4
221,0,2,0,4,2,4,4,4,4,3,3,3,3,3,4,4,4,3,2,4,4,4
222,1,1,0,5,4,5,4,5,5,4,4,2,5,5,6,5,6,4,5,6,5,6
223,0,1,0,3,2,2,2,4,4,4,4,3,5,4,5,5,4,5,4,5,5,4
224,1,2,1,3,2,2,2,4,4,1,4,3,5,5,5,5,5,4,4,4,4,4
225,1,2,0,4,3,3,5,5,5,5,5,2,3,3,3,3,3,2,2,3,3,3
226,1,1,1,3,1,2,3,3,4,4,4,3,6,5,5,6,6,5,5,4,5,5
227,0,1,1,3,3,2,3,3,4,1,4,3,3,4,4,4,3,3,4,3,3,3
228,1,3,0,4,2,3,4,4,5,5,5,2,4,5,5,4,5,3,4,5,4,5
229,1,3,0,2,4,4,2,4,2,2,3,3,4,4,5,5,4,3,3,5,5,4
230,1,1,1,2,2,4,2,4,2,1,3,3,6,6,6,6,6,5,6,5,5,5
231,1,1,1,3,5,5,4,5,3,3,4,2,5,4,4,5,4,4,4,3,4,3
232,1,3,0,3,2,2,2,2,3,2,3,3,4,3,4,3,4,3,2,4,3,4
233,1,2,0,3,2,2,2,2,3,1,3,3,4,5,5,5,5,3,4,5,5,5
234,0,3,1,4,3,3,4,3,4,3,4,2,5,4,5,4,5,5,3,4,3,5
235,0,2,1,3,3,4,4,3,4,3,3,2,4,4,3,4,3,4,3,2,2,3
236,0,1,1,3,1,4,4,3,4,3,3,2,5,5,5,4,5,5,5,4,3,5
237,1,1,1,4,4,5,5,4,5,4,4,1,7,5,6,6,5,5,5,5,5,4
238,1,3,1,2,2,4,3,3,4,4,4,2,4,4,4,4,5,3,3,3,3,4
239,0,2,0,2,1,4,3,3,4,2,4,2,4,5,5,5,4,4,4,5,5,4
240,0,3,0,3,3,5,5,4,5,5,5,1,5,4,4,5,5,5,3,4,5,5
241,0,3,0,4,2,4,2,4,4,3,4,2,5,5,5,5,4,5,4,5,5,4
242,0,2,0,4,2,4,2,4,4,3,4,2,5,4,4,4,5,5,3,4,4,5
243,1,2,0,5,3,5,3,5,5,4,5,1,4,4,5,4,4,3,3,5,4,4
244,0,1,1,4,2,4,3,2,4,4,2,2,6,6,5,5,5,6,6,4,4,5
245,1,1,1,4,3,4,3,2,4,3,2,2,4,4,5,5,4,3,4,4,4,3
246,1,3,1,5,3,5,5,3,5,5,3,1,3,4,4,4,3,1,3,3,3,1
247,0,3,1,3,3,4,2,3,3,4,3,2,4,5,4,5,4,4,4,3,4,4
248,0,2,1,3,1,4,2,3,3,2,3,2,4,4,3,4,4,4,3,2,3,4
249,1,2,0,4,4,5,5,4,4,5,4,1,4,3,4,3,4,3,1,4,3,4
250,1,2,0,2,3,4,2,2,3,2,2,3,4,5,4,4,4,3,4,4,4,4
251,1,2,1,2,1,4,2,2,3,2,2,3,5,5,4,4,4,4,4,3,3,3
252,1,1,1,3,4,5,3,3,4,3,3,2,7,5,6,6,6,5,5,5,5,5
253,1,3,0,4,1,4,4,4,4,4,4,2,3,3,4,4,4,2,2,4,4,4
254,0,2,0,4,2,4,4,4,4,3,4,2,4,5,4,4,4,4,4,4,4,4
255,1,1,1,5,2,5,3,5,5,5,5,1,5,6,7,5,6,4,6,5,4,5
256,1,3,0,4,3,3,4,3,3,2,3,3,3,3,4,4,3,2,2,4,4,3
257,1,1,1,4,3,3,4,3,3,1,3,3,5,5,6,7,5,4,5,5,5,4
258,1,1,0,5,4,4,3,4,4,3,4,2,5,4,5,5,5,4,4,5,5,5
259,1,3,1,4,4,2,3,4,4,3,4,2,5,4,4,4,5,4,3,3,3,4
260,0,1,0,4,1,2,3,4,4,2,4,2,5,6,6,6,6,5,6,6,6,6
261,1,2,0,5,5,3,5,5,5,4,5,1,3,3,4,4,4,2,2,4,4,4
262,0,1,1,3,4,3,2,4,3,3,3,3,5,5,5,4,4,5,5,4,3,4
263,0,2,1,3,3,3,2,4,3,3,3,3,4,4,5,5,5,4,3,4,4,5
264,1,2,0,4,5,4,4,5,4,4,4,2,4,4,5,5,4,3,3,5,5,4
265,1,2,1,2,3,2,2,2,2,2,3,4,5,4,4,5,4,4,3,3,4,3
266,1,2,0,2,2,2,2,2,2,2,3,4,4,5,4,5,5,3,4,4,5,5
267,1,1,1,3,4,3,3,3,3,3,4,3,4,4,4,4,4,3,4,3,3,3
268,1,1,1,4,4,4,3,4,4,4,4,2,5,4,4,4,5,4,4,3,3,4
269,0,1,0,4,3,4,3,4,4,2,4,2,3,4,4,3,3,3,4,4,3,3
270,0,2,0,5,5,5,5,5,5,5,5,1,4,4,4,5,4,4,3,4,5,4
271,0,2,0,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3
272,1,3,1,3,2,3,3,2,3,2,3,3,5,5,7,5,5,4,4,5,4,4
273,0,3,1,4,4,4,4,3,4,3,4,2,3,4,3,4,3,3,3,2,3,3
274,1,2,0,4,4,2,3,2,4,3,4,2,5,4,4,4,4,4,3,4,4,4
